team_id_home,wl_home,min,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,team_id_away,wl_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,plus_minus_away,team_id_x,fg3_pct_home_avg,ft_pct_home_avg,oreb_home_avg,dreb_home_avg,reb_home_avg,ast_home_avg,stl_home_avg,blk_home_avg,tov_home_avg,wl_home_avg,abbreviation_x,team_id_y,fg3_pct_away_avg,ft_pct_away_avg,oreb_away_avg,dreb_away_avg,reb_away_avg,ast_away_avg,stl_away_avg,blk_away_avg,tov_away_avg,wl_away_avg,abbreviation_y
1610612744,1,240,39.0,82.0,0.476,21.0,46.0,0.457,19.0,24.0,0.792,5.0,37.0,42.0,27.0,9.0,3.0,17.0,16.0,118.0,2,1610612743,0,44.0,91.0,0.484,15.0,39.0,0.385,13.0,15.0,0.867,8.0,35.0,43.0,28.0,10.0,6.0,17.0,24.0,116.0,-2,1610612744.0,0.3641518624641833,0.7834928366762177,9.724928366762178,34.621776504298,44.34670487106017,27.6189111747851,8.117478510028654,4.495702005730659,15.275071633237822,0.5243553008595988,GSW,1610612743.0,0.3658989361702128,0.7825904255319149,10.111702127659576,33.68882978723404,43.80053191489362,27.095744680851062,7.545212765957447,4.324468085106383,14.02659574468085,0.6117021276595744,DEN
1610612742,1,240,43.0,91.0,0.473,11.0,30.0,0.367,14.0,20.0,0.7,9.0,45.0,54.0,25.0,5.0,5.0,14.0,16.0,111.0,10,1610612762,0,39.0,94.0,0.415,16.0,52.0,0.308,7.0,11.0,0.636,7.0,33.0,40.0,26.0,8.0,4.0,13.0,22.0,101.0,-10,1610612742.0,0.3635909090909091,0.7685142045454545,9.008522727272728,33.71022727272727,42.71875,23.244318181818183,6.451704545454546,4.099431818181818,12.289772727272728,0.5596590909090909,DAL,1610612762.0,0.3683061224489796,0.7797230320699708,10.527696793002915,35.56851311953353,46.096209912536445,23.373177842565596,6.463556851311953,4.760932944606414,14.60058309037901,0.5801749271137027,UTA
1610612746,0,240,35.0,92.0,0.38,9.0,35.0,0.257,19.0,25.0,0.76,14.0,42.0,56.0,19.0,8.0,6.0,19.0,17.0,98.0,-15,1610612758,1,44.0,98.0,0.449,14.0,43.0,0.326,11.0,17.0,0.647,10.0,40.0,50.0,24.0,9.0,8.0,12.0,21.0,113.0,15,1610612746.0,0.3805646067415729,0.7998960674157304,9.688202247191011,34.735955056179776,44.424157303370784,23.707865168539325,7.162921348314606,4.558988764044944,13.884831460674157,0.5702247191011236,LAC,1610612758.0,0.3587308868501529,0.7654892966360857,9.666666666666666,33.006116207951074,42.67278287461774,25.03058103975535,7.477064220183486,4.226299694189603,13.938837920489297,0.4678899082568807,SAC
1610612765,1,240,46.0,90.0,0.511,12.0,34.0,0.353,11.0,13.0,0.846,7.0,34.0,41.0,25.0,9.0,9.0,11.0,14.0,115.0,10,1610612759,0,44.0,105.0,0.419,12.0,35.0,0.343,5.0,8.0,0.625,21.0,36.0,57.0,22.0,3.0,3.0,17.0,16.0,105.0,-10,1610612765.0,0.3463216560509554,0.7647898089171975,10.39171974522293,32.181528662420384,42.57324840764331,23.56050955414013,7.3789808917197455,4.547770700636943,15.01592356687898,0.267515923566879,DET,1610612759.0,0.35281875,0.76905,10.378125,34.13125,44.509375,26.065625,7.259375,4.83125,13.2125,0.390625,SAS
1610612755,1,240,47.0,87.0,0.54,18.0,37.0,0.486,13.0,17.0,0.765,11.0,26.0,37.0,28.0,14.0,5.0,21.0,25.0,125.0,12,1610612761,0,42.0,87.0,0.483,11.0,37.0,0.297,18.0,21.0,0.857,13.0,20.0,33.0,21.0,12.0,5.0,20.0,19.0,113.0,-12,1610612755.0,0.3714050279329609,0.7944692737430167,9.427374301675975,33.82122905027933,43.24860335195531,24.212290502793294,8.125698324022347,5.363128491620111,13.706703910614523,0.6284916201117319,PHI,1610612761.0,0.3540739644970413,0.7846568047337277,11.275147928994082,32.633136094674555,43.90828402366864,23.72189349112426,8.976331360946746,5.053254437869822,13.085798816568047,0.5502958579881657,TOR
1610612766,0,240,36.0,99.0,0.364,10.0,41.0,0.244,16.0,19.0,0.842,12.0,24.0,36.0,25.0,11.0,3.0,14.0,21.0,98.0,-30,1610612763,1,49.0,98.0,0.5,14.0,40.0,0.35,16.0,24.0,0.667,19.0,49.0,68.0,26.0,8.0,8.0,23.0,19.0,128.0,30,1610612766.0,0.3499808917197452,0.7473152866242038,10.885350318471335,33.203821656050955,44.089171974522294,25.901273885350317,7.777070063694268,4.805732484076433,14.356687898089172,0.4076433121019108,CHA,1610612763.0,0.3486974063400576,0.7561729106628242,12.0,35.19884726224784,47.19884726224784,26.207492795389047,8.827089337175792,5.703170028818444,13.956772334293948,0.5677233429394812,MEM
1610612745,0,240,36.0,88.0,0.409,11.0,37.0,0.297,23.0,33.0,0.697,13.0,36.0,49.0,22.0,12.0,2.0,22.0,29.0,106.0,-7,1610612748,1,41.0,85.0,0.482,12.0,40.0,0.3,19.0,28.0,0.679,12.0,35.0,47.0,28.0,12.0,6.0,26.0,34.0,113.0,7,1610612745.0,0.3398915662650602,0.7498644578313254,10.487951807228916,33.376506024096386,43.8644578313253,22.75,7.798192771084337,4.795180722891566,15.590361445783133,0.3463855421686747,HOU,1610612748.0,0.3634123711340206,0.8044587628865979,9.118556701030927,33.25515463917526,42.373711340206185,25.03608247422681,7.675257731958763,3.680412371134021,14.085051546391751,0.5902061855670103,MIA
1610612744,1,240,44.0,97.0,0.454,20.0,56.0,0.357,13.0,18.0,0.722,9.0,33.0,42.0,30.0,22.0,5.0,15.0,25.0,121.0,7,1610612747,0,39.0,91.0,0.429,13.0,36.0,0.361,23.0,32.0,0.719,14.0,42.0,56.0,22.0,8.0,3.0,27.0,22.0,114.0,-7,1610612744.0,0.3641518624641833,0.7834928366762177,9.724928366762178,34.621776504298,44.34670487106017,27.6189111747851,8.117478510028654,4.495702005730659,15.275071633237822,0.5243553008595988,GSW,1610612747.0,0.3480081967213114,0.7482322404371585,9.863387978142075,34.98907103825137,44.85245901639344,24.661202185792348,7.579234972677596,5.39344262295082,14.792349726775956,0.5491803278688525,LAL
1610612743,0,265,38.0,92.0,0.413,21.0,58.0,0.362,15.0,21.0,0.714,6.0,45.0,51.0,35.0,3.0,8.0,23.0,24.0,112.0,-2,1610612750,1,43.0,99.0,0.434,10.0,40.0,0.25,18.0,23.0,0.783,6.0,40.0,46.0,23.0,11.0,5.0,11.0,23.0,114.0,2,1610612743.0,0.3658989361702128,0.7825904255319149,10.111702127659576,33.68882978723404,43.80053191489362,27.095744680851062,7.545212765957447,4.324468085106383,14.02659574468085,0.6117021276595744,DEN,1610612750.0,0.3527894736842105,0.7624396284829721,10.176470588235292,33.39009287925697,43.56656346749226,25.32507739938081,8.603715170278639,5.585139318885449,14.90092879256966,0.436532507739938,MIN
1610612742,1,240,45.0,96.0,0.469,7.0,33.0,0.212,25.0,36.0,0.694,15.0,45.0,60.0,35.0,13.0,8.0,14.0,26.0,122.0,8,1610612746,0,40.0,92.0,0.435,13.0,33.0,0.394,21.0,27.0,0.778,6.0,33.0,39.0,31.0,8.0,5.0,16.0,26.0,114.0,-8,1610612742.0,0.3635909090909091,0.7685142045454545,9.008522727272728,33.71022727272727,42.71875,23.244318181818183,6.451704545454546,4.099431818181818,12.289772727272728,0.5596590909090909,DAL,1610612746.0,0.3805646067415729,0.7998960674157304,9.688202247191011,34.735955056179776,44.424157303370784,23.707865168539325,7.162921348314606,4.558988764044944,13.884831460674157,0.5702247191011236,LAC
